subject,SM,Tom0,Tom1,Tom2
1,1,0.666666666666667,0.566666666666667,0.833333333333333
2,0.666666666666667,0.466666666666667,0.366666666666667,0.9
3,0.833333333333333,0.466666666666667,0.6,0.733333333333333
4,0.766666666666667,0.466666666666667,0.466666666666667,0.9
5,0.8,0.533333333333333,0.433333333333333,0.833333333333333
6,0.633333333333333,0.5,0.5,0.9
7,0.833333333333333,0.7,0.633333333333333,0.933333333333333
8,0.933333333333333,0.633333333333333,0.666666666666667,0.866666666666667
9,0.9,0.6,0.666666666666667,0.866666666666667
10,0.466666666666667,0.733333333333333,0.2,0.6
11,0.366666666666667,0.466666666666667,0.166666666666667,0.633333333333333
12,0.966666666666667,0.6,0.666666666666667,0.9
13,0.666666666666667,0.266666666666667,0.533333333333333,0.566666666666667
14,0.8,0.4,0.566666666666667,0.933333333333333
15,0.833333333333333,0.566666666666667,0.633333333333333,0.866666666666667
16,0.266666666666667,0.366666666666667,0.0333333333333333,0.666666666666667
17,0.966666666666667,0.533333333333333,0.566666666666667,0.866666666666667
18,0.566666666666667,0.5,0.533333333333333,0.833333333333333
19,0.8,0.5,0.466666666666667,0.866666666666667
20,0.866666666666667,0.433333333333333,0.5,0.9
21,0.4,0.233333333333333,0.6,0.833333333333333
22,0.8,0.633333333333333,0.5,0.866666666666667
23,0.5,0.633333333333333,0.533333333333333,0.833333333333333
24,0.766666666666667,0.6,0.566666666666667,0.933333333333333
25,0.833333333333333,0.3,0.433333333333333,0.7
26,0.633333333333333,0.266666666666667,0.4,0.7
27,0.633333333333333,0.433333333333333,0.5,0.866666666666667
28,0.333333333333333,0.266666666666667,0.466666666666667,0.166666666666667
29,0.866666666666667,0.366666666666667,0.633333333333333,0.966666666666667
30,0.533333333333333,0.533333333333333,0.466666666666667,0.866666666666667
31,0.533333333333333,0.5,0.533333333333333,0.833333333333333
32,0.533333333333333,0.266666666666667,0.366666666666667,0.833333333333333
33,0.0666666666666667,0.0666666666666667,0.1,0.133333333333333
34,0.0666666666666667,0.0333333333333333,0.0333333333333333,0.0333333333333333
35,0.966666666666667,0.666666666666667,0.133333333333333,0.933333333333333
36,0.7,0.733333333333333,0.433333333333333,0.866666666666667
37,0.633333333333333,0.466666666666667,0.6,0.833333333333333
38,0.866666666666667,0.633333333333333,0.533333333333333,0.933333333333333
39,0.5,0.6,0.6,0.733333333333333
40,0.6,0.6,0.633333333333333,0.8
